#表盘控件
GaugeCar,汽车仪表盘
GaugeArc,圆弧仪表盘
GaugePercent,百分比表盘
GaugeCircle,半圆仪表盘
GaugeProgress,进度仪表盘
GaugeRange,范围仪表盘
GaugeSpeed,速度仪表盘
GaugeClock,时钟仪表盘
GaugeNet,网络仪表盘
GaugeSimple,简单仪表盘
GaugeWatch,时速仪表盘
GaugeCompass,指南针表盘
GaugeCompassPan,指南针面板
GaugeDial,旋转仪表盘
GaugeMini,迷你仪表盘
GaugeRound,圆环仪表盘
GaugePlane,飞机仪表盘
GaugeLpm,轨道仪表盘
GaugeColor,多彩仪表盘
GaugeCloud,云台仪表盘
GaugeWeather,天气仪表盘
GaugeDecibel,分贝仪表盘
GaugePanel,面板仪表盘
GaugeEdit,可输入表盘

#进度控件
ProgressWater,水波进度条
ProgressPercent,百分比进度条
ProgressRound,圆环进度条
ProgressWait,等待进度条
ProgressColor,多彩进度条
ProgressButton,按钮进度条
ProgressThree,多态进度条
ProgressPlay,播放进度条
ProgressRing,环形进度条
ProgressArc,圆弧进度条
ProgressShadow,光晕进度条
ProgressTip,提示进度条

#基础自绘
Battery,自绘电池
LightButton,高亮按钮
LightPoint,发光按钮
MagicFish,魔法小鱼
MagicMouse,魔法老鼠
MagicPool,魔法水滴
MagicPoolFish,游动的鱼
RoundCircle,旋转圆形
RoundWidget,多彩旋转
RoundLogo,旋转图形
SwitchButton,开关按钮
OvenTimer,旋转烤箱
Tumbler,滑动选择器
TumblerDateTime,滑动日期面板
LunarCalendarItem,农历单元格
LunarCalendarWidget,农历控件
TiledBg,平铺背景
TelWidget,手机通讯录

#高级自绘
CustomGraphics,自定义多边形
CustomRocker,自定义摇杆
CustomPie,自定义饼图
CustomRing,自定义环形图
ScanTanTan,探探雷达
ShadowCalendar,光晕日历
ShadowClock,光晕时钟
TimeAxis,垂直时间轴
ShadowWidget,阴影窗体
TaskTableView,任务策略表格
TimeLine,横向时间线

#导航指示
NavButton,导航按钮
NavLabel,导航变量
NavProgress,导航进度条
NavListView,树状导航栏
NavBar,滑动导航栏
NavButtonGroup,导航按钮组
NavTitle,导航标题栏
NavPage,分页导航

#波形曲线
WaveBar,直方动态图
WaveDouble,直方对称图
WaveLine,直方波形图
WavePlot,正弦曲线
WaveChart,简单曲线
WaveData,声音波形图
WaveWater,水波效果

#标尺刻度
RulerBar,柱状标尺
RulerLine,线性标尺
RulerSlider,滑动标尺
RulerDouble,双向刻度尺
RulerTemp,温度计标尺
RulerScale,半圆仪标尺
RulerProgress,进度标尺

#滑动控件
SliderSelect,范围选择条
SliderRange,范围滑动条
SliderTip,滑动提示条

#柱形控件
BarVolume,柱状音量条
BarVUMeter,左右声道音量

#颜色控件
ColorPanel,颜色面板集合
ColorPanelBar,颜色柱状条
ColorPanelBtn,颜色按钮面板
ColorPanelFader,颜色滑块面板
ColorPanelHSB,颜色选取面板
ColorButton,颜色多态按钮
ColorComboBox,颜色下拉框
ColorStyle,颜色样式面板

#贴图控件
AdsWidget,广告轮播
AdsWidget2,图片轮播
AnimationButton1,动画按钮1
AnimationButton2,动画按钮2
DeviceButton,设备按钮
ImageAnimation,图片动画
ImageSwitch,图片开关
ImageView,图片预览
ImageCalendar,图片背景日历
ImagePower,图片背景电池
ImageClock,图片背景时钟
ImagePilot,图片指示灯

#其他控件
PanelItem,面板元素
PanelWidget,面板窗体
LcdDateTime,LCD时间
LcdNumber,LCD数码管
LedNumber,LED数码管
LedText,LED文字
DeviceSizeTable,磁盘容量统计
CpuMemoryLabel,CPU内存
TextMoveWidget,文字滚动跑马灯
VerifiedCode,验证码
IconEditor,图标编辑器
IPAddress,IP地址输入框
ComboBox,自定义下拉框
AntLine,蚂蚁线
SelectWidget,描点跟随控件

#视频监控
VideoPanel,视频监控画面
VideoPlayback,视频回放控件
VideoWidget,视频窗体控件

#飞控套件
FlightADI,飞控控件1
FlightALT,飞控控件2
FlightASI,飞控控件3
FlightHSI,飞控控件4
FlightNAV,飞控控件5
FlightPFD,飞控控件6
FlightTC,飞控控件7
FlightVSI,飞控控件8

#拓展控件X
XListWidget,X高级列表控件
XListWidgetVS,X视频源面板
XListWidgetVT,X视频终端面板
XSlider,X显示值滑动条
XProgressBar,X自定义进度条
XComboBox,X自定义下拉框
XStackWidget,X堆栈窗体控件

#拓展控件Y
YComboBox,Y自定义下拉框
YSpinBox,Y自定义微调框
YDoubleSpinBox,Y自定义微调框2
YScrollBarH,Y自定义横向滚动条
YScrollBarV,Y自定义垂直滚动条
YTabWidget,Y自定义选项卡
YListWidget,Y自定义列表控件
YTreeWidget,Y自定义树状控件
YTableWidget,Y自定义表格控件
